Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Flow IAT Mean,Flow IAT Std,Flow Packets/s,Label
291887,23,9,12554,468,25.330095,3.615989,12.595528,BENIGN
153452,16,16,10589,849,25.506032,15.244457,9.203194,BENIGN
335391,2337,1306,837935,1500,0.396731,0.064498,68.19864,DDoS
138208,15,15,16366,181,15.998811,3.187542,4.495808,BENIGN
191359,15,17,28574,418,19.995261,10.600071,5.328947,BENIGN
163741,2275,550,382481,1500,1.02607,0.258333,47.136268,DDoS
204247,20,20,31244,733,5.989107,5.041444,7.026041,BENIGN
60796,17,18,17116,1003,55.27943,3.977064,5.529031,BENIGN
262195,2031,910,935123,1303,0.592007,0.290115,80.038439,DDoS
52591,20,13,5315,94,17.871821,5.30785,7.734771,BENIGN
175259,18,17,9254,526,16.257525,6.687846,17.891212,BENIGN
119632,15,14,9979,461,11.117636,6.193287,6.742233,BENIGN
464898,4024,1173,321204,1276,0.476197,0.143118,74.042306,DDoS
363648,22,24,9750,155,16.532473,12.580595,3.886508,BENIGN
78896,13,13,3542,343,18.143057,4.501306,5.054137,BENIGN
238188,2361,2373,1814719,1163,0.312409,0.133346,67.150487,DDoS
44542,14,8,10253,886,33.195549,22.741394,4.962716,BENIGN
85401,1392,1398,688363,1500,0.405573,0.836038,34.326934,DDoS
245680,2079,557,1828527,1500,0.259497,0.118808,35.042698,DDoS
274090,1761,835,463079,1286,0.658041,0.289988,47.173237,DDoS
101950,19,16,14352,241,34.910446,4.825695,15.220069,BENIGN
179386,17,14,41593,196,4.444911,3.789638,9.339109,BENIGN
239078,2525,665,582378,765,0.871203,0.441407,85.803151,DDoS
194347,20,8,19666,468,31.915145,4.95272,5.907928,BENIGN
314289,2317,2514,1336405,1500,0.465887,0.100539,27.760357,DDoS
141468,1833,3242,423820,1320,0.39139,0.176421,53.115481,DDoS
57631,21,17,3627,446,20.079223,8.738997,6.321329,BENIGN
184643,2524,751,1129133,883,1.023657,0.076182,74.989921,DDoS
234477,6845,1738,1008537,1178,0.401384,0.063323,99.177691,DDoS
79518,22,14,7868,792,38.116749,4.689696,11.566769,BENIGN
175332,15,12,17871,395,24.531753,7.667558,6.897744,BENIGN
164932,25,12,7713,565,26.369605,2.584539,8.917764,BENIGN
120415,3157,5687,1643761,1500,0.46012,0.533345,45.072692,DDoS
87108,21,19,8722,598,12.355659,4.406614,2.31772,BENIGN
95352,17,7,23495,610,15.391432,10.846466,5.417568,BENIGN
211508,2553,3194,1153063,1500,0.530635,0.168688,99.896243,DDoS
73961,16,16,7599,531,13.765331,2.391719,9.575856,BENIGN
171904,6006,1198,458528,1500,0.350033,0.124847,45.129981,DDoS
267522,17,14,25841,1232,5.951108,5.162675,17.007421,BENIGN
51673,24,14,3656,435,15.820642,1.676599,5.038598,BENIGN
231699,2049,3744,398417,954,0.375241,0.209663,50.041461,DDoS
69487,25,9,3808,394,23.278343,1.722159,6.544236,BENIGN
424949,4117,2556,545550,1173,0.305156,0.197314,124.379454,DDoS
66272,23,18,9460,823,50.485122,3.489877,4.64672,BENIGN
97850,3182,1385,1157755,933,0.301964,0.192292,44.369662,DDoS
188248,24,18,8450,364,19.381358,8.839117,5.269667,BENIGN
151466,863,1385,1371410,1500,0.350672,0.326186,93.06409,DDoS
407279,8990,5067,2030734,1500,0.385937,0.381535,33.604786,DDoS
339605,2209,3533,1097858,1267,0.523869,0.156389,44.543422,DDoS
172906,13,15,10498,466,17.559469,13.495477,15.094748,BENIGN
270046,3284,3758,1784953,1411,0.4639,0.098048,21.454224,DDoS
211188,2717,2261,532412,894,0.533503,0.41737,43.129872,DDoS
170027,13,10,16425,328,45.338982,2.29117,11.236842,BENIGN
220329,19,10,10355,827,18.986494,23.090208,5.220365,BENIGN
106101,25,15,12088,485,20.727058,4.703722,13.649997,BENIGN
244723,24,8,37501,537,15.576299,5.914839,6.171776,BENIGN
44453,27,11,5439,500,11.675329,12.557807,3.509084,BENIGN
155124,18,20,4218,981,18.94464,3.955072,5.902814,BENIGN
145095,15,15,18747,1108,14.263449,16.887246,4.725497,BENIGN
155205,12,15,7843,483,8.755339,5.096769,3.99155,BENIGN
201759,25,15,6190,929,16.221729,5.98457,6.023825,BENIGN
430540,16,14,3191,417,22.70276,7.252378,28.183593,BENIGN
157038,21,16,6790,549,14.06745,8.953949,30.554092,BENIGN
49471,14,18,8955,461,15.168075,2.675432,12.2442,BENIGN
87807,21,14,11192,709,20.477086,2.673753,14.208518,BENIGN
138928,18,19,8210,618,26.31619,6.919023,13.260285,BENIGN
277140,3975,3833,2019784,903,0.507635,0.560314,49.970916,DDoS
198809,2305,2191,772120,1251,1.346281,0.03807,29.821247,DDoS
75174,29,14,12382,1051,14.534831,4.345074,3.150854,BENIGN
195891,20,13,10903,335,24.737148,10.41376,2.035511,BENIGN
135120,17,12,12359,260,4.985324,10.656264,5.149396,BENIGN
421320,18,14,23175,1162,29.883299,9.015905,16.025198,BENIGN
343032,1924,2261,1161754,1248,0.408309,0.223179,48.150241,DDoS
286143,1784,4563,741687,1500,0.519074,0.09795,117.62351,DDoS
99021,1109,5396,2488169,1500,0.221505,0.105791,101.007006,DDoS
96211,13,13,1296,463,20.631102,3.326926,4.464513,BENIGN
188134,20,10,14099,889,34.492831,4.034128,4.176123,BENIGN
118962,2274,2238,1125864,1415,0.653914,0.250055,55.440048,DDoS
140994,5104,3165,1386177,1306,0.817947,0.239668,102.101373,DDoS
57856,23,10,6070,934,35.479548,5.335897,11.071965,BENIGN
243213,36,15,9989,448,23.034322,26.152823,16.270649,BENIGN
108382,16,16,7842,1114,10.066877,1.594421,11.062021,BENIGN
263281,25,10,7847,725,7.517648,7.984088,19.818515,BENIGN
556174,1855,4627,230552,1222,0.579984,0.057712,47.912421,DDoS
96803,25,13,2577,142,18.003582,4.873328,5.528479,BENIGN
624170,3068,5195,810404,1149,0.299861,0.247976,125.1375,DDoS
91684,20,15,10698,503,8.363265,22.713225,35.615219,BENIGN
65265,20,12,13653,722,16.338631,7.442937,3.332378,BENIGN
41154,26,9,2786,696,36.153498,3.441187,12.956623,BENIGN
273006,2577,2440,925274,1410,0.202491,0.108574,71.707114,DDoS
36294,22,20,5704,684,24.630947,2.335688,3.249987,BENIGN
96251,3039,3140,1048007,1500,0.366639,0.137494,34.829127,DDoS
73074,19,9,39645,344,54.578547,3.441059,6.537065,BENIGN
247010,1934,1123,726783,1500,0.760357,0.124014,40.354787,DDoS
183388,13,6,30770,906,19.833537,4.631856,5.691973,BENIGN
60158,20,9,3628,314,25.607255,3.594747,5.44276,BENIGN
246845,844,1024,1224064,1026,0.169243,0.148099,56.521253,DDoS
425824,1071,1449,849657,794,0.513804,0.548871,61.190371,DDoS
231125,2590,2513,546474,1500,0.558152,0.08619,57.094481,DDoS
333361,1700,2167,791694,1161,0.361304,0.283639,38.626703,DDoS
93778,15,7,3805,844,53.459518,1.538097,12.093905,BENIGN
165462,4678,1647,717052,1500,1.094773,0.229639,41.001731,DDoS
58865,18,12,36893,578,10.314256,3.465699,4.401235,BENIGN
81014,24,14,4354,499,8.435257,6.161188,8.241942,BENIGN
290147,16,20,1753,523,22.188918,2.24762,12.694384,BENIGN
146653,15,20,3387,318,23.102927,31.63747,13.214859,BENIGN
238082,996,5114,689362,714,0.502525,0.21179,35.114484,DDoS
718102,3522,1673,772917,1322,0.458277,0.436173,46.944933,DDoS
276092,2411,2583,654890,1500,0.704401,0.155329,57.496452,DDoS
214625,19,7,5163,976,19.607105,2.81467,20.24223,BENIGN
113196,15,19,5439,602,14.615986,3.147856,6.003108,BENIGN
212751,4267,3347,841910,1500,0.454543,0.306126,74.963625,DDoS
87421,18,12,13335,255,38.972221,4.81622,8.854449,BENIGN
125482,1171,2990,1614633,1367,1.257685,0.2568,67.340811,DDoS
266365,16,10,29974,304,19.438107,3.51942,15.034315,BENIGN
222648,1601,2337,1398597,925,0.172878,0.056863,106.702451,DDoS
236111,15,7,15311,391,33.685837,41.60772,6.728321,BENIGN
107221,16,11,6433,603,29.448034,7.79461,7.446073,BENIGN
152275,21,18,5386,503,12.763492,22.415912,2.681724,BENIGN
205651,22,16,7797,627,50.820311,19.637464,4.100145,BENIGN
122384,20,17,3721,507,12.371177,5.733194,18.51372,BENIGN
149422,33,13,6564,1355,7.571671,3.751845,8.053432,BENIGN
162962,1943,2340,1841236,1100,0.535164,0.228393,81.2362,DDoS
128160,16,9,9003,327,15.466009,35.825352,9.191647,BENIGN
334071,4798,4829,888154,1500,0.257714,0.126411,31.424977,DDoS
71659,15,18,6394,1099,13.532095,5.858678,17.211168,BENIGN
167775,21,15,8699,870,15.31688,2.747063,38.235133,BENIGN
151609,14,17,26110,246,33.50827,6.80631,5.106706,BENIGN
500563,2380,1138,2112910,1500,1.050573,0.236732,52.138585,DDoS
294686,5767,2958,3648300,1500,0.34657,0.174782,12.032837,DDoS
311207,17,10,4616,562,13.283006,3.598415,3.830162,BENIGN
91130,18,9,11333,523,12.972628,1.514561,5.022868,BENIGN
543183,1549,2451,494029,1408,0.30542,0.605649,96.346837,DDoS
108791,22,20,6990,869,51.05468,6.21261,4.792667,BENIGN
260795,3225,2457,405573,1500,0.611977,0.078758,42.075569,DDoS
290238,22,12,4454,257,14.838612,43.476166,11.152353,BENIGN
102478,17,17,12497,307,12.520756,26.197686,12.150568,BENIGN
101227,3895,3546,812280,1005,0.629967,0.150067,47.913159,DDoS
129794,27,13,7859,469,31.239385,8.170356,17.666371,BENIGN
190163,17,13,3202,653,19.812608,2.29132,2.638302,BENIGN
253765,3561,2021,426752,1500,0.614767,0.200646,35.942193,DDoS
110431,3043,1804,1738695,1395,0.583508,0.228287,43.812672,DDoS
640693,1943,2143,1299532,1012,0.424492,0.133529,98.98812,DDoS
81105,21,12,27939,777,8.051037,9.808592,7.376963,BENIGN
137936,25,11,15097,982,26.695683,4.066824,8.344535,BENIGN
308433,29,15,24738,378,13.74358,10.373899,17.18237,BENIGN
309514,12,18,7812,1059,29.634516,3.711836,5.306577,BENIGN
261655,17,9,4342,667,37.873011,7.674341,6.63638,BENIGN
392467,1906,5196,885444,1500,0.530162,0.315553,84.244723,DDoS
230144,4948,1704,820542,1500,0.59251,0.184168,61.642201,DDoS
109107,8079,3654,623692,1121,0.537033,0.31933,20.812179,DDoS
97912,21,11,12086,745,21.180301,2.758035,17.575162,BENIGN
236813,9298,1882,1080730,1500,0.408511,0.098718,54.91071,DDoS
98114,20,19,6126,271,18.216951,7.917377,4.037279,BENIGN
516515,2181,917,441688,1500,0.209049,0.296579,13.613893,DDoS
211893,24,15,28405,600,13.649543,6.647454,6.841211,BENIGN
69060,24,18,4173,877,9.849686,5.597913,6.570764,BENIGN
286632,21,12,4230,610,13.585894,11.382279,6.613371,BENIGN
53197,16,15,9227,269,12.662186,9.168989,4.586469,BENIGN
177453,7733,1027,692242,1348,0.254434,0.151202,31.2323,DDoS
136706,22,11,13942,456,16.717967,6.476162,36.61054,BENIGN
85870,23,17,5786,587,11.175565,10.33412,17.089922,BENIGN
69118,12,12,7101,572,27.925732,4.293843,15.035176,BENIGN
129286,1034,2025,617342,1487,0.40128,0.474191,80.407843,DDoS
226688,2794,928,1455138,1500,0.742988,0.14375,48.812751,DDoS
208364,1923,1518,620541,1500,1.115798,0.273617,61.036875,DDoS
147547,2056,3672,448095,1500,0.529506,0.147832,28.704981,DDoS
283559,14,21,10644,715,19.0405,6.639804,23.233797,BENIGN
285593,19,9,13471,376,32.138689,14.420386,4.016466,BENIGN
512726,19,10,6157,1500,10.503907,5.463768,11.764031,BENIGN
135306,3391,1373,1609582,746,1.133969,0.171171,51.459216,DDoS
162224,2218,4050,869076,1389,0.593009,0.076232,23.084354,DDoS
121952,1353,4147,1239389,1500,0.293778,0.073675,146.831105,DDoS
306604,1529,4102,1328164,1374,0.30992,0.104833,32.272881,DDoS
75974,2672,1414,669075,1026,0.498775,0.054322,93.081164,DDoS
171252,3415,544,409634,630,0.202275,0.32577,70.145061,DDoS
156170,18,15,15634,560,8.744109,12.661019,8.574119,BENIGN
65765,22,13,10740,819,19.721367,2.569488,5.051329,BENIGN
102308,15,16,7025,390,34.306292,13.563888,12.578759,BENIGN
300741,5148,1139,273333,1500,0.481836,0.253104,68.687721,DDoS
402948,3784,2000,714517,1295,0.182554,0.203967,62.08398,DDoS
339298,16,13,16200,713,38.730229,3.062521,4.246442,BENIGN
543471,24,12,19310,520,55.800719,2.975888,22.870407,BENIGN
157860,1921,2764,709962,829,0.277781,0.383518,56.176977,DDoS
119021,15,14,16591,239,12.496059,2.779037,7.120573,BENIGN
466534,3477,3636,1551112,1193,0.631117,0.357998,40.322416,DDoS
224340,3154,1079,768437,1500,0.156784,0.221751,26.654638,DDoS
235379,2198,2031,705979,1500,0.316266,0.158562,55.958863,DDoS
227484,23,10,11291,475,22.285685,12.917063,3.485533,BENIGN
193058,3084,2446,899686,1022,0.371726,0.609993,45.384525,DDoS
156221,5618,869,2435686,1291,0.44005,0.186292,70.478845,DDoS
371221,28,8,3897,226,11.219939,6.267389,8.295539,BENIGN
161088,20,16,21547,520,24.321427,3.952619,6.405437,BENIGN
98665,13,12,5977,217,24.843528,12.041769,10.847616,BENIGN
50129,19,14,4565,467,9.058209,6.167408,8.537962,BENIGN
64595,19,13,4004,508,11.721066,5.478766,14.121192,BENIGN
244070,1364,1931,470186,1248,0.781165,0.265977,75.212391,DDoS
130732,1761,910,1069124,991,0.36916,0.300441,30.818317,DDoS
280769,878,1511,1303000,901,0.576482,0.122518,23.038051,DDoS
96499,20,14,13029,450,22.515627,6.045602,3.265181,BENIGN
103097,1567,3491,645786,1500,1.179975,0.071287,114.936423,DDoS
140572,24,15,8336,706,11.855988,4.106079,6.812052,BENIGN
300812,3315,4429,1106900,1500,0.561213,0.116133,158.759998,DDoS
153576,20,15,11978,333,27.052236,5.72257,5.929256,BENIGN
138724,13,12,13000,196,38.605041,9.849949,6.142639,BENIGN
241453,20,10,21067,390,23.207493,16.537672,8.669372,BENIGN
195853,6524,2268,331890,1500,0.472539,0.431629,68.478731,DDoS
264609,1319,2020,790838,1282,0.74176,0.15395,46.001694,DDoS
242138,6266,1954,897287,1500,0.454748,0.219853,105.281156,DDoS
67668,21,11,4366,383,23.481115,4.844319,6.941376,BENIGN
210430,1343,5215,588159,615,0.701246,0.114666,64.508038,DDoS
110847,22,16,24438,1262,8.658212,4.706331,5.556535,BENIGN
82613,13,19,22001,1117,33.601392,4.551637,1.803636,BENIGN
422289,2664,1996,1467114,1441,0.583386,0.421149,51.584104,DDoS
224053,7476,1542,829412,1500,0.671957,0.282666,22.53732,DDoS
85951,13,13,2941,675,8.838249,12.803888,29.595572,BENIGN
165722,17,14,3274,475,15.837871,5.68126,8.432415,BENIGN
451503,2832,1372,475829,1170,1.147707,0.128679,45.505617,DDoS
246986,4204,2952,473096,1082,0.5506,0.2976,145.638247,DDoS
275789,1273,3408,1935959,1072,0.227474,0.130848,54.188146,DDoS
57203,18,13,3469,391,8.925694,3.463302,10.693386,BENIGN
157570,19,19,3085,693,16.051465,13.441732,4.53309,BENIGN
426583,707,3099,678106,1500,0.785657,0.7278,27.232965,DDoS
61562,20,11,1948,616,7.765887,16.3551,5.666823,BENIGN
355403,3947,2903,878285,1305,0.260335,0.281516,37.676468,DDoS
71485,17,20,15659,410,6.704517,8.633259,7.78645,BENIGN
292929,19,23,7083,378,54.271384,7.133268,3.590743,BENIGN
33086,14,14,3517,512,17.197027,8.750187,38.417342,BENIGN
167572,19,9,4777,215,25.87031,11.647274,8.860832,BENIGN
428169,4511,1268,714190,1074,0.96066,0.224152,52.39137,DDoS
410188,5761,3271,840214,1500,1.089879,0.228855,67.021709,DDoS
70853,21,9,6611,585,15.091604,5.077567,8.049502,BENIGN
133224,2696,1046,2107168,1002,0.468415,0.106275,84.924063,DDoS
383190,964,2589,1417193,1500,0.400129,0.126612,33.346867,DDoS
71378,27,19,3012,878,26.109106,3.163396,10.326898,BENIGN
553958,18,11,7021,318,17.901768,4.439582,20.444475,BENIGN
190449,3494,1365,2743660,1094,0.32788,0.045976,45.307157,DDoS
291132,5623,1052,1859636,1500,0.456254,0.421591,37.300444,DDoS
182848,4707,5221,1074377,1258,0.50833,0.088837,51.708331,DDoS
63585,24,12,11722,1500,59.429197,8.129443,21.708334,BENIGN
86608,23,14,4896,310,23.158906,13.492474,52.37897,BENIGN
71592,24,17,14433,757,10.086738,7.205008,6.4809,BENIGN
120224,20,16,11965,812,17.224949,6.175693,8.99945,BENIGN
440943,1507,5296,410425,1500,1.559676,0.127432,37.965326,DDoS
670730,3175,1577,720012,1299,0.216409,0.170688,120.896927,DDoS
213810,19,18,9053,956,17.293624,5.014601,12.940335,BENIGN
107446,13,12,6928,538,18.071271,13.43514,9.577068,BENIGN
394412,4069,2893,728649,1353,0.97753,0.108132,23.845246,DDoS
313738,23,10,40878,609,23.221511,4.188746,21.418817,BENIGN
681429,3956,3137,401644,1034,0.383001,0.258667,138.74318,DDoS
683995,1711,1968,775555,1500,0.412615,0.211876,39.093066,DDoS
267458,18,16,7361,428,7.095195,5.016185,10.883638,BENIGN
113958,18,18,21347,1143,19.532961,11.240674,18.704709,BENIGN
80668,23,10,7348,526,24.714695,3.656159,9.573889,BENIGN
240326,16,17,10333,683,21.664654,16.07087,9.693045,BENIGN
98042,21,8,5583,392,38.707717,8.690139,10.358203,BENIGN
128024,18,11,3617,416,15.975179,26.692234,6.082238,BENIGN
224710,21,15,4256,389,9.759463,16.703347,9.055167,BENIGN
228501,1517,2805,727626,1500,0.402823,0.08632,93.74478,DDoS
58556,28,16,12078,1143,12.811734,16.978181,9.988065,BENIGN
655719,2425,2412,909582,1500,0.61816,0.226369,42.518481,DDoS
87928,17,14,17652,415,42.576719,3.604354,1.537668,BENIGN
129567,12,13,9135,619,8.478413,8.842634,4.597419,BENIGN
209766,22,12,6248,595,12.578195,3.378802,9.487721,BENIGN
197639,1183,4242,1316236,1500,0.807756,0.358253,32.871222,DDoS
217008,22,18,3421,361,35.981485,21.31173,23.80242,BENIGN
124623,20,17,11132,584,18.008358,4.675228,12.683211,BENIGN
147933,20,8,8892,701,28.565042,11.870328,7.041322,BENIGN
230135,28,10,8159,669,11.442906,6.271708,9.370828,BENIGN
299823,2666,4784,1190115,843,1.333312,0.091697,64.503994,DDoS
123838,20,14,19291,466,28.180935,5.407728,18.949762,BENIGN
150991,16,12,14819,516,20.125387,3.3542,12.261372,BENIGN
142305,1245,2634,1624166,1500,0.612609,0.251267,53.157617,DDoS
349895,1672,706,362858,1209,0.570459,0.151307,57.160903,DDoS
159388,23,15,3385,547,35.445359,5.606443,11.736666,BENIGN
66814,26,18,6994,930,7.637031,2.028739,23.578567,BENIGN
228587,4113,1490,1411593,1500,0.429329,0.123893,89.942925,DDoS
132922,2698,1804,608053,1478,0.916702,0.198553,67.136063,DDoS
186248,4976,4428,499981,679,0.77733,0.082318,90.773962,DDoS
391572,4577,1541,1054751,1500,1.194258,0.221252,29.059265,DDoS
325399,1820,1916,812048,845,0.577673,0.147962,28.141776,DDoS
272725,2973,1199,1356666,1500,0.612686,0.218195,140.355557,DDoS
546930,2554,908,1057784,1242,0.625111,0.177287,71.911912,DDoS
115275,17,12,11405,618,7.046868,16.344472,10.416884,BENIGN
149104,25,12,10753,807,20.008116,4.465277,19.053439,BENIGN
120871,22,14,16877,437,15.442754,15.255512,2.818405,BENIGN
47528,11,19,6747,717,41.257789,4.442302,4.622995,BENIGN
213962,2325,2726,2235864,1051,0.442903,0.299607,69.360859,DDoS
674905,3414,5117,1728376,1026,0.152991,0.134696,76.607844,DDoS
132090,13,15,22930,412,7.364531,1.765983,4.600115,BENIGN
190480,4614,1936,1108208,1265,1.413771,0.13648,47.554826,DDoS
225202,18,13,4394,681,17.406615,6.070926,6.597465,BENIGN
90545,14,14,4105,784,28.750083,3.625264,3.812108,BENIGN
274262,3048,1089,1106953,1399,0.123431,0.130856,42.853039,DDoS
271658,974,9965,711786,1500,0.549781,0.199282,61.053612,DDoS
72247,15,16,5597,439,11.778346,2.050159,2.395264,BENIGN
171723,1851,2752,341524,896,0.152865,0.092868,54.891058,DDoS
90493,18,12,10192,374,28.751895,5.424174,6.899105,BENIGN
149972,1524,2123,1273910,1500,0.838489,0.398961,40.847609,DDoS
133042,13,10,17749,314,33.530284,12.764339,2.920714,BENIGN
154409,11,16,3920,1328,11.041676,14.385491,5.90726,BENIGN
138794,21,16,7521,1270,6.003926,6.118251,15.23361,BENIGN
50393,14,12,14407,426,6.492748,2.393226,1.769976,BENIGN
137714,20,12,13405,315,20.845651,18.010143,8.330912,BENIGN
263734,2161,7540,534725,1500,0.338909,0.075278,56.475106,DDoS
196713,21,14,2656,295,12.913879,2.596727,7.058443,BENIGN
55742,25,10,6970,636,8.661538,3.469566,9.258264,BENIGN
114395,29,16,15412,218,7.885839,16.999909,6.195997,BENIGN
315501,24,20,13913,458,86.597921,4.722431,3.642114,BENIGN
86893,5556,3642,1029523,1500,0.564193,0.12747,57.30417,DDoS
203275,18,14,12284,225,26.462352,4.256674,7.231434,BENIGN
49361,24,12,17377,685,37.486717,3.257442,5.082405,BENIGN
172735,3160,1003,421979,1500,0.792732,0.177147,86.627634,DDoS
90430,24,12,4128,220,24.883687,7.088686,4.394276,BENIGN
296041,1865,2014,1578900,1500,0.386464,0.083975,69.089087,DDoS
52362,22,9,14853,1249,28.999561,8.827741,18.331466,BENIGN
266798,1042,1700,1781246,1500,0.443465,0.25111,81.569962,DDoS
192438,1422,1269,1131392,1500,0.340303,0.27596,67.545374,DDoS
25755,16,16,7877,383,8.452005,9.77741,20.360749,BENIGN
94033,20,9,6028,1068,24.432904,6.389885,6.478997,BENIGN
136245,21,7,8899,347,63.898083,7.000679,7.005741,BENIGN
30540,18,16,5997,380,14.660966,11.353744,20.597602,BENIGN
112354,27,16,5377,454,21.236375,6.820237,4.671832,BENIGN
98582,23,13,3425,206,13.5414,12.340362,7.964971,BENIGN
88687,16,13,12426,513,11.471811,8.221633,6.936048,BENIGN
46724,21,11,6839,1500,23.911887,7.300351,1.822549,BENIGN
115017,16,11,8356,494,69.405032,4.788136,7.047365,BENIGN
60108,21,13,12602,763,11.92784,8.289502,5.749378,BENIGN
233988,20,13,7640,518,29.127197,9.001627,4.117104,BENIGN
365925,2971,5077,1841959,1500,0.251577,0.346212,32.006312,DDoS
110266,20,9,11001,241,8.033928,6.010574,38.954602,BENIGN
144043,16,10,2570,278,12.947105,17.296391,10.345799,BENIGN
28214,21,14,13668,179,8.757468,3.416209,35.385278,BENIGN
110279,16,10,6620,564,21.054838,3.369058,11.798832,BENIGN
328972,2003,5833,2556374,1500,0.389172,0.284252,37.419154,DDoS
109506,19,16,12198,1110,13.287455,4.216321,4.089404,BENIGN
95435,15,20,4654,1073,14.500746,5.091268,11.940377,BENIGN
180339,18,14,22201,581,35.097921,5.006058,2.894127,BENIGN
233011,20,21,11169,609,15.106331,8.246994,3.810651,BENIGN
346627,19,19,10185,404,15.796423,8.928799,5.704406,BENIGN
139857,16,15,6178,576,29.637748,7.828788,6.554942,BENIGN
170728,2950,2086,1190836,1500,0.522719,0.198522,63.96777,DDoS
260829,1892,4020,904719,1500,0.352422,0.206428,31.737726,DDoS
759346,2197,958,1786289,1500,0.232481,0.110958,56.658569,DDoS
175710,4050,4027,511322,1374,0.536516,0.180007,83.611713,DDoS
169374,1086,4530,359065,1500,0.393212,0.266758,71.914575,DDoS
272002,26,9,9214,443,11.074166,5.125988,7.771805,BENIGN
469945,2269,1609,1160471,1275,0.328766,0.126477,102.294428,DDoS
142449,20,14,4398,1500,13.372087,4.201017,12.041729,BENIGN
166176,33,7,7035,223,30.23551,6.039343,16.289295,BENIGN
655875,1733,1699,1369084,1407,0.335061,0.482788,65.673128,DDoS
42666,16,16,1647,447,38.539032,8.908166,4.87344,BENIGN
449774,1416,2441,516873,1500,0.266867,0.223665,143.560956,DDoS
297982,470,1747,1463631,1500,0.804553,0.098467,35.117821,DDoS
140110,21,14,10677,508,41.204818,12.295889,15.355139,BENIGN
84169,19,15,10576,407,16.982143,9.040049,8.783665,BENIGN
250162,2039,967,1752583,1500,0.420242,0.277587,38.709623,DDoS
373345,4636,940,884639,1147,0.860572,0.282627,30.404101,DDoS
56965,19,13,4739,1175,23.236537,9.558319,13.180888,BENIGN
320062,3127,2670,2225601,1500,0.558329,0.292375,61.054458,DDoS
152161,3350,1352,580058,1006,0.274407,0.176157,79.382633,DDoS
84857,21,16,2321,289,30.787672,1.510523,5.041739,BENIGN
123987,1647,1159,908494,1274,0.77026,0.200468,127.470685,DDoS
49763,19,16,26581,831,8.050528,3.854644,8.247793,BENIGN
640165,3301,828,963850,1127,0.39478,0.277378,72.232464,DDoS
157670,19,15,6704,1500,47.987572,2.563047,3.523785,BENIGN
391720,1939,1381,600949,1172,1.066102,0.183587,66.09717,DDoS
341672,14,20,10310,801,11.22018,7.641815,6.819405,BENIGN
83470,19,12,6707,655,27.335707,13.929936,6.605198,BENIGN
320592,7560,2582,2077520,1048,0.368334,0.120951,76.622572,DDoS
261042,2708,1386,787781,1345,0.544525,0.44642,65.546936,DDoS
170219,20,15,6801,488,5.496218,4.177892,6.53598,BENIGN
64275,12,17,3926,278,27.79271,3.494704,28.091377,BENIGN
43481,15,11,12481,402,23.723639,6.526352,9.157914,BENIGN
120826,11,18,13646,645,18.005131,8.323929,9.540731,BENIGN
109039,18,15,7187,307,6.73356,6.912146,6.612176,BENIGN
156613,23,13,14447,354,16.360194,12.850145,12.10649,BENIGN
136882,21,11,4367,640,32.194425,24.036593,1.961239,BENIGN
213906,1131,5547,1158951,1500,0.417699,0.163154,50.900179,DDoS
122334,17,17,11472,408,7.521729,17.11885,14.792908,BENIGN
141375,19,11,30205,533,21.223152,8.919905,5.278663,BENIGN
102873,22,12,10634,742,14.69676,3.388467,7.030866,BENIGN
159814,14,15,8330,571,12.970224,5.65108,3.883951,BENIGN
930833,3412,803,1113690,1500,0.570655,0.182802,58.822186,DDoS
1178249,3149,1604,658885,1284,0.319771,0.09957,29.376693,DDoS
128899,23,11,5388,292,21.248839,6.933646,6.470706,BENIGN
46146,15,18,8406,339,7.505925,1.28932,5.980713,BENIGN
143321,14,12,7160,302,24.262179,14.883482,4.340223,BENIGN
102924,12,15,23330,1500,23.696811,6.150717,5.320778,BENIGN
72782,11,11,23535,261,15.984239,3.606129,9.065224,BENIGN
141953,2574,1787,1478223,1500,0.91292,0.195481,53.197569,DDoS
75968,16,13,21978,504,52.901911,3.011081,17.216658,BENIGN
36067,26,9,12359,356,20.064131,19.244388,3.10473,BENIGN
222070,17,12,8162,581,4.604626,13.398768,21.449583,BENIGN
171829,14,16,3032,673,20.792764,1.834167,4.355378,BENIGN
106084,15,17,6706,485,13.155832,13.794731,7.692505,BENIGN
288725,27,16,3017,574,11.441676,4.976914,5.777248,BENIGN
176469,1834,2941,568326,1500,1.276862,0.075618,78.765415,DDoS
361378,24,18,37546,274,23.713556,2.571141,5.937727,BENIGN
137995,18,15,10055,576,23.484835,3.291891,5.004246,BENIGN
197937,3298,3300,897039,1190,0.537578,0.123478,39.678317,DDoS
254303,35,17,9070,728,13.637782,8.348622,6.65516,BENIGN
139662,20,18,9490,324,22.886651,5.826742,18.057388,BENIGN
148512,2709,1002,661196,1500,0.390024,0.228168,20.768438,DDoS
98201,22,14,12444,559,3.929658,2.962842,9.43249,BENIGN
738076,7336,1915,949726,1500,0.375685,0.127992,65.257913,DDoS
153875,15,8,9314,1157,17.347126,6.052954,15.646243,BENIGN
410158,10584,4431,1096191,1500,0.264905,0.18697,85.413389,DDoS
94064,5476,1066,945482,1454,0.560449,0.288572,113.97748,DDoS
35786,2598,1246,375568,1025,0.371966,0.074523,106.497944,DDoS
